23,232,180:0
39,92,121:1
200,91,129:2
95,92,120:1
172,223,67:3
35,221,52:3
229,34,18:4
56,121,177:5
175,214,192:5
69,234,18:3
59,145,218:5
194,248,125:6
185,200,234:5
88,237,10:3
83,199,89:7
1,248,78:3
53,245,117:3
124,158,245:5
103,95,183:8
147,86,11:9
254,33,37:4
234,183,31:10
145,15,197:8
109,147,157:11
192,102,245:8
38,74,105:1
202,155,184:2
234,40,29:4
244,241,122:6
7,136,234:5
164,102,174:8
86,187,106:7
229,51,198:2
246,204,33:6
32,44,141:12
32,24,102:13
254,0,97:2
14,101,196:12
178,133,55:9
37,21,125:13
69,35,126:8
162,157,96:6
176,135,243:8
154,118,157:8
168,229,117:3
83,185,136:0
205,126,10:10
48,226,39:3
75,216,236:5
180,94,157:14
41,7,21:9
56,57,105:12
143,48,205:8
88,150,206:5
54,167,22:7
110,236,0:3
79,84,51:15
125,171,97:3
53,96,80:0
203,49,148:14
197,45,114:14
81,147,180:5
62,145,52:7
173,188,245:5
140,164,181:5
97,173,62:7
149,55,146:14
187,236,34:6
185,192,66:6
143,143,243:5
25,219,101:3
202,89,179:14
15,95,200:12
191,88,54:10
29,90,247:12
107,50,50:9
21,84,28:7
108,20,147:8
71,5,111:8
71,238,231:5
16,53,38:7
89,132,42:3
1,45,211:12
44,135,84:7
109,200,105:3
118,174,57:3
82,169,36:3
50,34,140:12
97,200,162:0
248,162,96:10
20,173,209:5
179,106,187:8
128,105,48:9
56,61,27:15
116,8,135:8
48,15,237:12
148,51,127:14
15,195,110:0
250,155,178:2
65,182,192:5
